n;natural;karatsuba
208;0,04110249599999882;0,01735755600000033
209;0,043412870000000936;0,021903412000000344
210;0,06003586600000155;0,023498718000000807
211;0,04196016599999908;0,022643100999999888
212;0,041641103999999984;0,017237523999998672
213;0,040153519000000415;0,024037327000000275
214;0,040659297999999566;0,017871543000000045
215;0,0408901299999993;0,021855193000000384
216;0,04196221800000011;0,024242510999998856
217;0,05139145699999936;0,02435228400000078
218;0,049769475000001506;0,025515678999999736
219;0,04950273600000088;0,0553258630000002
220;0,04930678500000063;0,01764276199999948
221;0,04118149099999968;0,023619777000000397
222;0,04189142899999965;0,022000873999999726
223;0,04238079399999961;0,02506119599999934
224;0,041094288000000034;0,017224187000000057
225;0,040909623000001005;0,029390583000001413
226;0,04114455899999925;0,017722784000000047
227;0,04163187100000165;0,021876737999999563
228;0,0416257160000022;0,022329168999998927
229;0,041296393999999736;0,025406931999999216
230;0,04047873600000074;0,017129801999999472
231;0,050555330999998205;0,02869090399999763
232;0,05248508800000096;0,023001146999998667
233;0,041348717000001756;0,019874139999998874
234;0,04826239799999854;0,024087597000001182
235;0,04576838399999872;0,021664372000000043
236;0,0414174530000011;0,01711441199999797
237;0,04180627699999917;0,02222452500000216
238;0,046575783999998066;0,01796900499999765
239;0,04380784900000023;0,04718107700000118
240;0,0426824140000015;0,023056546999999483
241;0,05817689800000281;0,02421378600000068
242;0,03942819199999903;0,05127758000000071
243;0,07485221700000011;0,06202307500000259
244;0,0868339469999988;0,061072046000003155
245;0,08579366300000046;0,023359193000001
246;0,0515155930000013;0,04057312000000124
247;0,04495585500000132;0,026149697999997557
248;0,0436026649999981;0,029688098999997692
249;0,04092193399999999;0,025511575999999536
250;0,04208224999999999;0,022809298999998617
251;0,04091372599999943;0,025435656999999168
252;0,042316159999998604;0,027648569000000123
253;0,042466971000003184;0,025081714999998894
254;0,04357188699999881;0,02254563799999687
255;0,042602391999999156;0,02490423100000072
256;0,04989976799999951;0,025951695999999913
257;0,04600639799999939;0,02510428500000117
258;0,04307328999999882;0,029395711999999463
259;0,0491334039999991;0,029598844000002345
260;0,04256751000000136;0,02269952700000033
261;0,0426003399999999;0,026245108999997768
262;0,04869636200000116;0,023781873000000786
263;0,04049412399999852;0,025618270999999027
264;0,04182166600000059;0,026879128999997448
265;0,04159904200000142;0,024508225000001715
266;0,04138564999999872;0,017550430000000006
267;0,043714490000002826;0,022222473000002907
268;0,04477631800000026;0,018082882000001632
269;0,04169034800000304;0,022607193000002468
270;0,04004989999999964;0,022857517999998578
271;0,044634741999999505;0,025312547000002183
272;0,05197315299999872;0,021997796000000847
273;0,03996474999999933;0,025267406000001102
274;0,04773917800000049;0,019689474999999845
275;0,049339614999997394;0,025189436000001564
276;0,04216637600000084;0,024203526000000863
277;0,041070692999998215;0,024446670000003223
278;0,04172522999999728;0,022314806000000686
279;0,0426844659999972;0,026147646999998386
280;0,04179191499999746;0,018010042000000226
281;0,04041205100000056;0,02619381299999901
282;0,039995527000002085;0,022669773999997034
283;0,04165444100000215;0,02457798700000069
284;0,0402037890000031;0,02229223500000188
285;0,04256853600000099;0,02529407999999833
286;0,041918102000000346;0,018149566999998257
287;0,043867352000003024;0,029172062000000665
288;0,04625569699999943;0,023345855999998832
289;0,04046847600000092;0,02539154300000135
290;0,050131625999998874;0,025437709999998503
291;0,04224947500000198;0,025191488000000817
292;0,041246124000000606;0,017985419999998697
293;0,04129844699999907;0,024528743000001185
294;0,04231513399999898;0,022574362999996822
295;0,04143899800000028;0,041289213000002434
296;0,04087781900000209;0,02434407699999852
297;0,04374321599999931;0,024101959999999423
298;0,040513617000002;0,017487848000001804
299;0,042411570999998816;0,024908333999999144
300;0,04126048799999893;0,022552818999997726
301;0,041377441999998155;0,02219169600000015
302;0,04154877200000229;0,024939112000001984
303;0,05162946999999818;0,022686189000001633
304;0,04024687799999782;0,017777157000001154
305;0,04488198900000029;0,02520482499999943
306;0,048611211000000765;0,02779527599999909
307;0,04194785500000009;0,024580038999999942
308;0,04214688300000091;0,027372595999999305
309;0,04166059599999983;0,02498732999999831
310;0,04111378099999996;0,0244969399999988
311;0,042044290999999845;0,02426200400000056
312;0,04062646899999933;0,027043275000000477
313;0,04180012199999794;0,024184033999997467
314;0,04244542600000045;0,026864765000002677
315;0,04210071700000029;0,025410009000001565
316;0,04110454699999977;0,022350713000001576
317;0,04193246499999859;0,026694461999998254
318;0,04943399999999798;0,031937944999999246
319;0,0441074179999994;0,025246888000001633
320;0,043550342999999714;0,03185997400000318
321;0,04655423899999889;0,026286146000000343
322;0,041980682999998464;0,023213511999998104
323;0,05530124099999867;0,025283820999998596
324;0,04100913599999956;0,027672164999998472
325;0,04083575599999989;0,024552338999999535
326;0,0397770049999977;0,027259744999998503
327;0,0414523349999989;0,024489758999997946
328;0,04401098099999956;0,02292317699999913
329;0,040149414999998356;0,026085064999996632
330;0,040042719999998866;0,02676422499999731
331;0,042433115000001465;0,02597323999999901
332;0,04524619100000038;0,030483188000001604
333;0,050907220999999225;0,026530314999998694
334;0,04213559899999808;0,017779209000000407
335;0,04477016300000258;0,027844518999998513
336;0,04864506699999893;0,023960382999998586
337;0,04072906099999685;0,024841648999998966
338;0,04242490800000098;0,021955732999998645
339;0,04257264100000313;0,027491602999997866
340;0,03975443500000253;0,01820291499999982
341;0,04106761500000289;0,024609790999999603
342;0,041784733000000074;0,022553844999997352
343;0,04105222499999783;0,024441540000001538
344;0,04003348699999876;0,0223917500000006
345;0,03983856099999983;0,027932749000001422
346;0,04010119700000203;0,017946434999998928
347;0,04327950000000058;0,025260225000000247
348;0,04391351900000018;0,026859635999997522
349;0,0482480350000003;0,024418969999999263
350;0,042324366999999086;0,022327116999999674
351;0,07969763999999913;0,03218724199999912
352;0,04119482800000185;0,017706368999999
353;0,03998116400000029;0,026484149000001622
354;0,04256340699999939;0,02333149399999712
355;0,040608002000002585;0,02460773900000035
356;0,04079471900000087;0,023662866000002225
357;0,04120508699999803;0,0276526720000021
358;0,041888350999997215;0,017388333999999617
359;0,041205088000001666;0,02559672699999993
360;0,04166675200000114;0,022406111999998757
361;0,04052798000000024;0,024358441000000397
362;0,0412789540000027;0,0228985549999976
363;0,042595211000001854;0,03029031500000201
364;0,04847886700000004;0,017228290000002033
365;0,04394532299999909;0,024792404999999462
366;0,041578523000001866;0,0277337210000006
367;0,0494945290000004;0,028019951999997517
368;0,041607247999998265;0,027713202000001047
369;0,04036588399999985;0,028614985999997344
370;0,04095886700000051;0,022458435000000776
371;0,04092295899999954;0,024730848999997335
372;0,040397687999998766;0,02707918300000145
373;0,04182679500000219;0,024564649999998522
374;0,04172933300000281;0,028792470000002623
375;0,04402637100000106;0,02724025200000213
376;0,04194272500000196;0,02278262600000147
377;0,04242490800000098;0,02452156200000033
378;0,044664492999999084;0,027611635999999606
379;0,05632613599999914;0,0246918650000012
380;0,04240131100000255;0,027928644999999364
381;0,0442623320000024;0,03214825799999943
382;0,04696563299999923;0,02254974199999893
383;0,04325077400000055;0,025806014000000488
384;0,042187919999999934;0,02741363300000188
385;0,040876793000002465;0,027733720000000517
386;0,05023011399999788;0,027412607000002254
387;0,04247620299999966;0,03133880600000083
388;0,0458576399999977;0,02380752000000186
389;0,044357743000002614;0,025517730999997212
390;0,042497747999998836;0,027329506999997477
391;0,04427669500000064;0,026538521999999176
392;0,04423976200000013;0,02834209099999896
393;0,04769198600000024;0,03508752100000123
